N_CAT	ANO	MÊS	N	TÍTULO	AUTOR	EDITORA	CATEGORIA	VENDAS	ISBN	Num_Pag	url_img
13	2013	3	20	Uma Breve História Do Cristianismo	Geoffrey Blainey	Fundamento	13	743	978-85-39505-33-3	328	https://www.publishnews.com.br/estaticos/uploads/livro/cristianismo.jpg
5	2013	3	1	A Mulher V	Cristiane Cardoso	Thomas Nelson Brasil	5	28.471	978-85-78604-00-4	296	https://pictures.abebooks.com/isbn/9788578604004-us.jpg
5	2013	3	2	Casamento Blindado	Renato E Cristiane Cardoso	Thomas Nelson Brasil	5	12.691	978-85-78600-13-6	272	https://www.publishnews.com.br/estaticos/uploads/2015/07/uvdKw5FLdIeLmP6JQariYXt28JMaZnbVt0M2lzdEva4CHThTm0WMDhd3gKlDBP7oPo6nQMjVgP2ESLVo.jpg
5	2013	3	3	Eu Não Consigo Emagrecer	Pierre Dukan	Bestseller	5	9.995	978-85-76846-49-9	308	https://pictures.abebooks.com/isbn/9788576846499-us.jpg
5	2013	3	4	Mentes Brilhantes	Alberto Dell'Isolla	Universo Dos Livros	5	7.005	978-85-79303-26-5	206	https://www.publishnews.com.br/estaticos/uploads/2018/01/FSKFO9nmfai7gHhUPcCIJgmHi23kUPurtOhfNSLMuRWyzI71D0fxkqafsprT17SzRIU1MA2kMY7XDKv5.png
5	2013	3	5	Só O Amor Consegue	Zibia Gasparetto	Vida E Consciência	5	6.197	978-85-77222-42-1	416	https://pictures.abebooks.com/isbn/9788577222421-us.jpg
5	2013	3	6	Nietzsche Para Estressados	Allan Percy	Sextante	5	4.558	978-85-75426-43-2	112	https://pictures.abebooks.com/isbn/9788575426432-us.jpg
5	2013	3	7	O Poder Do Hábito	Charles Duhigg	Objetiva	5	3.950	978-85-39004-11-9	408	https://www.publishnews.com.br/estaticos/uploads/2015/08/SSD47DiXYZczBBE1UhKU68VrA4oTA6NAqe5Ic5C1TQhKgsEcy1Ch5BusqeN1UnCfhi4TqzETdEbcokXI.jpg
5	2013	3	8	O Método Dukan Ilustrado	Pierre Dukan	Bestseller	5	3.883	978-85-76846-57-4	288	https://pictures.abebooks.com/isbn/9788576846574-us.jpg
5	2013	3	9	Manual Dos Jovens Estressados	Augusto Cury	Planeta Do Brasil	5	2.998	978-85-76659-63-1	176	https://www.publishnews.com.br/estaticos/uploads/livro/manual.jpg
5	2013	3	10	Quem Pensa Enriquece	Napoleon Hill	Fundamento	5	2.629	978-85-76766-30-8	248	https://pictures.abebooks.com/isbn/9788576766308-us.jpg
5	2013	3	11	Feridas Da Alma	Padre Reginaldo Manzotti	Agir	5	2.051	978-85-22014-04-0	224	https://pictures.abebooks.com/isbn/9788522014040-us.jpg
5	2013	3	12	O Poder Do Agora	Eckhart Tolle	Sextante	5	1.837	978-85-75420-27-0	224	https://www.publishnews.com.br/estaticos/uploads/2015/08/4QvdLnBYXQgMrM2cZWZpfiNxxwIZheAaHTnANTFdadJig4P6k91W1xBH76Fe6qitoYtIZPwysRJf7m00.jpg
5	2013	3	13	Viver Com Fé	Cissa Guimarães	Casa Da Palavra	5	1.659	978-85-77342-95-2	160	https://www.publishnews.com.br/estaticos/uploads/livro/vivercomfe.jpg
