ano;sem_epid;inicio;termino;sem_epid_desc
2022;39;25/09/2022;01/10/2022;2022/39 (25/09 - 01/10)
2022;40;02/10/2022;08/10/2022;2022/40 (02/10 - 08/10)
2022;41;09/10/2022;15/10/2022;2022/41 (09/10 - 15/10)
2022;42;16/10/2022;22/10/2022;2022/42 (16/10 - 22/10)
2022;43;23/10/2022;29/10/2022;2022/43 (23/10 - 29/10)
2022;44;30/10/2022;05/11/2022;2022/44 (30/10 - 05/11)
2022;45;06/11/2022;12/11/2022;2022/45 (06/11 - 12/11)
2022;46;13/11/2022;19/11/2022;2022/46 (13/11 - 19/11)
2022;47;20/11/2022;26/11/2022;2022/47 (20/11 - 26/11)
2022;48;27/11/2022;03/12/2022;2022/48 (27/11 - 03/12)
2022;49;04/12/2022;10/12/2022;2022/49 (04/12 - 10/12)
2022;50;11/12/2022;17/12/2022;2022/50 (11/12 - 17/12)
2022;51;18/12/2022;24/12/2022;2022/51 (18/12 - 24/12)
2022;52;25/12/2022;31/12/2022;2022/52 (25/12 - 31/12)
